Date,audience_macro,Link_to_Creative,Spend_USD
2024-03,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/T0optlpIzsQJdBXI4GseSA.mp4,5322.7402
2024-03,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/-3620858486662167331.png,2129.1134
2024-03,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/7N1N-QO96eMPoTqTmPf5fg.mp4,2025.1779
2024-04,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/5004295187784140492.png,133302.0358
2024-04,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/MlNtF9HHSoWHy0993731Sg.mp4,74036.5437
2024-04,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/2223499038702765225.png,66746.9477
2024-04,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/7589964286422949603.png,693207.2562
2024-04,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/-4517428492616297246.png,244408.5795
2024-04,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/1aGGjodIReSiYx2VQEDFVA.png,97428.66159999999
2024-04,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/-6059698801507964296.png,299009.2038
2024-04,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/645233030685019561.png,224641.6158
2024-04,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/su_b-Ohr6vk1Fb0Rpi2s1g.png,200702.8473
2024-04,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/1859822762973519453.png,233714.9215
2024-04,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/1996850903291247482.png,210113.4278
2024-04,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/y2P_z34Rh9uWcYGPY5ttZA.mp4,130189.9691
2024-04,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/g6sxrUb1Xr-KYuX1LVuGMQ.png,117632.9562
2024-04,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/EDoqhT85l-y7UQ57V4vofg.png,110284.9833
2024-04,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/Jmvcxyv5snbJrHiRw4JlUA.png,109626.9654
2024-04,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/9021252958019172776.png,4194.2768
2024-04,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/oByVU1YuqLt7p1L91Qap1Q.jpg,3100.7483
2024-04,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/-5888030747567991491.png,2303.2862999999998
2024-05,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/1612431692833443340.png,70425.5236
2024-05,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/4675528643893581750.png,54503.1873
2024-05,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/-3563832573484899254.png,38783.9757
2024-05,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/-4517428492616297246.png,202637.2541
2024-05,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/1aGGjodIReSiYx2VQEDFVA.png,151365.1849
2024-05,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/4540513216972391620.png,139716.5346
2024-05,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/-6116376933397611734.png,274488.2779
2024-05,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/5509077119537351036.png,265456.9456
2024-05,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/-9147211259769290841.png,247808.826
2024-05,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/120843516935687702.png,207360.09840000002
2024-05,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/-1468980906504949077.png,154840.2998
2024-05,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/y2P_z34Rh9uWcYGPY5ttZA.mp4,101469.6293
2024-05,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/Jmvcxyv5snbJrHiRw4JlUA.png,149065.8533
2024-05,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/3598717512360308375.png,146493.2147
2024-05,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/7TO2F1cU5z_jBlxTpkNPWw.png,142235.22090000001
2024-05,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/3851267728501349101.png,10161.1912
2024-05,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/-1959044930676835065.png,3974.5546
2024-05,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/7N1N-QO96eMPoTqTmPf5fg.mp4,2177.5332
2024-06,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/4751187667755205267.png,68126.5477
2024-06,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/0IBSifsbkYvhlGoBO5_MUQ.png,60925.3522
2024-06,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/bZYDCfCNDGOcsy2Nx7LF5Q.mp4,54149.407400000004
2024-06,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/-4517428492616297246.png,114760.1621
2024-06,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/4540513216972391620.png,99644.5364
2024-06,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/-1546008475454073983.png,85993.062
2024-06,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/-9147211259769290841.png,584842.3194
2024-06,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/5668199909030255861.png,315299.1604
2024-06,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/-3013142733376179420.png,159090.8739
2024-06,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/UyZ7sBNuZ8JUj_Saoi64ug.mp4,158192.2094
2024-06,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/y2P_z34Rh9uWcYGPY5ttZA.mp4,126169.0631
2024-06,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/120843516935687702.png,124965.5962
2024-06,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/-8172075211507506295.png,147575.031
2024-06,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/3598717512360308375.png,138371.9815
2024-06,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/-7558979155803070333.png,115466.7021
2024-06,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/7N1N-QO96eMPoTqTmPf5fg.mp4,5001.8583
2024-06,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/3219676280827961627.png,4066.6485000000002
2024-06,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/oByVU1YuqLt7p1L91Qap1Q.jpg,2199.7115999999996
2024-07,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/-1857293459251042779.png,60335.6152
2024-07,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/4751187667755205267.png,50824.279800000004
2024-07,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/oXU9W5YueEvY6twwNLwxXA.png,48200.2462
2024-07,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/3756304625482037198.png,204593.7249
2024-07,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/5768309717890557925.png,156690.9192
2024-07,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/-4517428492616297246.png,92483.2559
