Date,Publisher,Link_to_Creative,Spend_USD
2024-01,Netflix,https://x-ad-assets.s3.amazonaws.com/media_asset/0f7a24fe2171fce3/media,238133.9662
2024-01,OTT Streaming Services (General),https://x-ad-assets.s3.amazonaws.com/media_asset/80bd79e80bc40319/media,313310.9065
2024-01,OTT Streaming Services (General),https://x-ad-assets.s3.amazonaws.com/media_asset/664eb6726159d0c8/media,162841.7014
2024-01,OTT Streaming Services (General),https://x-ad-assets.s3.amazonaws.com/media_asset/bfb550c8758c8c1b/media,160864.4114
2024-01,Paramount+,https://x-ad-assets.s3.amazonaws.com/media_asset/80bd79e80bc40319/media,62446.4029
2024-01,Paramount+,https://x-ad-assets.s3.amazonaws.com/media_asset/664eb6726159d0c8/media,56442.0941
2024-01,Paramount+,https://x-ad-assets.s3.amazonaws.com/media_asset/bfb550c8758c8c1b/media,54387.2897
2024-01,Peacock,https://x-ad-assets.s3.amazonaws.com/media_asset/80bd79e80bc40319/media,415008.2408
2024-01,Peacock,https://x-ad-assets.s3.amazonaws.com/media_asset/662b234392cc8668/media,396432.3696
2024-01,Peacock,https://x-ad-assets.s3.amazonaws.com/media_asset/f91c3575b82eca40/media,285743.461
2024-01,Pluto TV,https://x-ad-assets.s3.amazonaws.com/media_asset/80bd79e80bc40319/media,79987.1678
2024-01,Pluto TV,https://x-ad-assets.s3.amazonaws.com/media_asset/bfb550c8758c8c1b/media,31328.3423
2024-01,Pluto TV,https://x-ad-assets.s3.amazonaws.com/media_asset/cbfb717450bc226f/media,31328.3423
2024-01,Snapchat,https://s3.amazonaws.com/YM_Ads/625102444743132897.jpeg,10442.3755
2024-01,TikTok,https://x-ad-assets.s3.amazonaws.com/media_asset/6c74a206a0b31394/media,1562551.008
2024-01,TikTok,https://x-ad-assets.s3.amazonaws.com/media_asset/706d1ac423bb79a9/media,662420.3282
2024-01,TikTok,https://x-ad-assets.s3.amazonaws.com/media_asset/916daa3825717d1a/media,58390.4149
2024-01,Tubi,https://x-ad-assets.s3.amazonaws.com/media_asset/80bd79e80bc40319/media,155777.629
2024-01,Tubi,https://x-ad-assets.s3.amazonaws.com/media_asset/bfb550c8758c8c1b/media,76825.5075
2024-01,Tubi,https://x-ad-assets.s3.amazonaws.com/media_asset/cbfb717450bc226f/media,76367.1847
2024-01,Twitch,https://x-ad-assets.s3.amazonaws.com/media_asset/ac4b98d0b4aaf518/media,36691.7318
2024-01,Twitch,https://x-ad-assets.s3.amazonaws.com/media_asset/1cbf74e50b82a38a/media,8929.3594
